Date;Cyclo;Moto
20150101;5047;9976
20150201;4831;10611
20150301;6008;17421
20150401;7483;20955
20150501;7256;18302
20150601;9430;21161
20150701;11626;19958
20150801;8234;10205
20150901;10144;14438
20151001;7944;12021
20151101;5424;8930
20151201;7166;9454
20160101;4929;9669
20160201;5169;11382
20160301;6297;16837
20160401;7573;20570
20160501;7257;18725
20160601;9369;21210
20160701;10645;17752
20160801;8746;11467
20160901;11105;15722
20161001;8135;12405
20161101;6322;10578
20161201;7687;16333
20170101;5224;8154
20170201;5215;9878
20170301;7160;17714
20170401;7477;18484
20170501;7673;18913
20170601;10161;22872
20170701;11728;17634
20170801;9353;11617
20170901;10117;14125
20171001;8616;13053
20171101;7615;10065
20171201;17520;8340
