Day of Invoice Document Date,Month of Invoice Document Date,Product Group Code,SalesRegion,Universe Title,Year of Invoice Document Date,SalesEUR
7,January,01,NL,50CC,2016,11.61
29,January,01,FR,50CC,2016,3194.87
28,January,01,FR,50CC,2016,3823.8076
27,January,01,FR,50CC,2016,3621.4721
26,January,01,FR,50CC,2016,5095.5164
25,January,01,FR,50CC,2016,4118.3923
22,January,01,FR,50CC,2016,1937.58
21,January,01,FR,50CC,2016,3965.0634
20,January,01,FR,50CC,2016,3935.17
19,January,01,FR,50CC,2016,3894.688
18,January,01,FR,50CC,2016,3432.2926
15,January,01,FR,50CC,2016,1962.26
14,January,01,FR,50CC,2016,5516.0123
13,January,01,FR,50CC,2016,4980.7233
12,January,01,FR,50CC,2016,4899.294
11,January,01,FR,50CC,2016,4729.47
10,January,01,FR,50CC,2016,-99.59
8,January,01,FR,50CC,2016,3473.455
7,January,01,FR,50CC,2016,4847.6245
6,January,01,FR,50CC,2016,3237.1822
5,January,01,FR,50CC,2016,4378.7628
4,January,01,FR,50CC,2016,4243.622
29,January,01,CH,50CC,2016,16.08
28,January,01,CH,50CC,2016,78.89
27,January,01,CH,50CC,2016,38.89
22,January,01,CH,50CC,2016,18.81
21,January,01,CH,50CC,2016,102.49
19,January,01,CH,50CC,2016,22.17
18,January,01,CH,50CC,2016,7.75
13,January,01,CH,50CC,2016,7.75
12,January,01,CH,50CC,2016,199.44
5,January,01,CH,50CC,2016,14.65
28,January,01,BE,50CC,2016,393.53
27,January,01,BE,50CC,2016,119.44
26,January,01,BE,50CC,2016,318.84
25,January,01,BE,50CC,2016,173.03
21,January,01,BE,50CC,2016,9.71
20,January,01,BE,50CC,2016,158.24
19,January,01,BE,50CC,2016,57.79
18,January,01,BE,50CC,2016,89.98
15,January,01,BE,50CC,2016,9.95
14,January,01,BE,50CC,2016,172.54
13,January,01,BE,50CC,2016,107.78
12,January,01,BE,50CC,2016,164.71
11,January,01,BE,50CC,2016,230.19
8,January,01,BE,50CC,2016,177.23
7,January,01,BE,50CC,2016,158.77
6,January,01,BE,50CC,2016,394.69
5,January,01,BE,50CC,2016,150.97
4,January,01,BE,50CC,2016,333.98
29,February,01,NL,50CC,2016,17.9
25,February,01,NL,50CC,2016,3.93
22,February,01,NL,50CC,2016,81.4
16,February,01,NL,50CC,2016,0.75
11,February,01,NL,50CC,2016,102.68
9,February,01,NL,50CC,2016,7.47
8,February,01,NL,50CC,2016,49.65
29,February,01,FR,50CC,2016,2364.3005
26,February,01,FR,50CC,2016,2868.1
25,February,01,FR,50CC,2016,3431.14
24,February,01,FR,50CC,2016,3312.97
23,February,01,FR,50CC,2016,4285.94
22,February,01,FR,50CC,2016,3349.39
19,February,01,FR,50CC,2016,3318.68
18,February,01,FR,50CC,2016,4197.0075
17,February,01,FR,50CC,2016,5095.9525
16,February,01,FR,50CC,2016,4409.37
15,February,01,FR,50CC,2016,2784.1434
12,February,01,FR,50CC,2016,2524.1301
11,February,01,FR,50CC,2016,5140.6482
10,February,01,FR,50CC,2016,4462.95
9,February,01,FR,50CC,2016,4761.8904
8,February,01,FR,50CC,2016,4123.97
5,February,01,FR,50CC,2016,2068.8731
4,February,01,FR,50CC,2016,5025.5381
3,February,01,FR,50CC,2016,4973.0184
2,February,01,FR,50CC,2016,4444.4265
1,February,01,FR,50CC,2016,4436.77
29,February,01,CH,50CC,2016,28.37
25,February,01,CH,50CC,2016,395.16
24,February,01,CH,50CC,2016,23.93
23,February,01,CH,50CC,2016,278.25
19,February,01,CH,50CC,2016,19.44
17,February,01,CH,50CC,2016,81.52
16,February,01,CH,50CC,2016,74.28
15,February,01,CH,50CC,2016,11.06
12,February,01,CH,50CC,2016,7.75
11,February,01,CH,50CC,2016,262.27
10,February,01,CH,50CC,2016,104.26
9,February,01,CH,50CC,2016,31.05
8,February,01,CH,50CC,2016,151.82
5,February,01,CH,50CC,2016,87.75
4,February,01,CH,50CC,2016,178.03
2,February,01,CH,50CC,2016,32.85
29,February,01,BE,50CC,2016,244.29
25,February,01,BE,50CC,2016,203.96
24,February,01,BE,50CC,2016,7.97
23,February,01,BE,50CC,2016,59.81
22,February,01,BE,50CC,2016,192.23
18,February,01,BE,50CC,2016,149.02
17,February,01,BE,50CC,2016,120.25
16,February,01,BE,50CC,2016,205.86
15,February,01,BE,50CC,2016,126.88
12,February,01,BE,50CC,2016,49.65
11,February,01,BE,50CC,2016,113.14
10,February,01,BE,50CC,2016,194.33
9,February,01,BE,50CC,2016,-0.74
8,February,01,BE,50CC,2016,74.27
5,February,01,BE,50CC,2016,64.44
4,February,01,BE,50CC,2016,246.91
3,February,01,BE,50CC,2016,116.9222
2,February,01,BE,50CC,2016,218
1,February,01,BE,50CC,2016,36.16
30,March,01,NL,50CC,2016,11.01
21,March,01,NL,50CC,2016,52.24
16,March,01,NL,50CC,2016,71.79
14,March,01,NL,50CC,2016,114.61
9,March,01,NL,50CC,2016,7.74
8,March,01,NL,50CC,2016,31.61
4,March,01,NL,50CC,2016,10.91
1,March,01,NL,50CC,2016,6.77
31,March,01,FR,50CC,2016,4505.5562
30,March,01,FR,50CC,2016,4962.62
29,March,01,FR,50CC,2016,7540.4818
24,March,01,FR,50CC,2016,5019.6803
23,March,01,FR,50CC,2016,5171.38
22,March,01,FR,50CC,2016,5065.5713
21,March,01,FR,50CC,2016,3199.49
18,March,01,FR,50CC,2016,3554.77
17,March,01,FR,50CC,2016,4569.5629
16,March,01,FR,50CC,2016,3677.4845
15,March,01,FR,50CC,2016,4419.56
14,March,01,FR,50CC,2016,2782.4984
11,March,01,FR,50CC,2016,3972.9
10,March,01,FR,50CC,2016,4491.1411
9,March,01,FR,50CC,2016,4330.97
8,March,01,FR,50CC,2016,5148.7662
7,March,01,FR,50CC,2016,3879.8971
4,March,01,FR,50CC,2016,3316.54
