date,t,u,rrsum
20140101,9.975000000000023,64.25,0.0
20140102,11.725000000000023,74.5,0.0
20140103,13.700000000000031,80.25,0.0
20140104,14.100000000000023,83.33333333333333,0.2
20140105,12.15000000000002,70.0,0.4
20140106,11.875000000000014,72.25,0.2
20140107,12.650000000000034,74.25,0.0
20140108,12.550000000000026,76.75,0.0
20140109,11.675000000000026,80.5,0.2
20140110,13.300000000000026,78.5,0.0
20140111,12.875000000000028,78.5,0.0
20140112,13.100000000000037,83.75,0.0
20140113,13.90000000000002,73.75,0.0
20140114,11.77500000000002,62.0,0.0
20140115,11.275000000000034,70.25,0.0
20140116,11.40000000000002,73.0,0.0
20140117,13.166666666666686,74.66666666666667,0.0
20140118,13.350000000000023,85.0,0.0
20140119,11.800000000000026,89.25,5.0
20140120,11.250000000000028,86.75,2.6
20140121,12.750000000000028,68.5,0.6
20140122,12.200000000000017,71.5,13.0
20140123,10.350000000000037,90.25,4.8
20140124,11.175000000000011,52.5,0.2
20140125,11.40000000000002,56.5,0.0
20140126,12.225000000000009,44.5,0.0
20140127,13.500000000000028,57.75,1.0
20140128,9.40000000000002,61.25,0.0
20140129,10.800000000000026,61.25,0.0
20140130,11.925000000000026,80.0,1.0
20140131,10.675000000000026,57.0,0.0
20140201,12.300000000000026,74.0,1.8
20140202,10.700000000000031,78.25,0.0
20140203,12.825000000000017,73.75,0.0
20140204,11.125000000000028,82.75,2.0
20140205,11.450000000000031,74.25,0.4
20140206,13.225000000000023,56.5,0.0
20140207,15.125000000000014,64.25,0.0
20140208,13.575000000000017,62.0,0.0
20140209,14.575000000000031,25.5,0.0
20140210,13.050000000000026,82.0,2.0
20140211,11.850000000000023,76.5,0.8
20140212,11.90000000000002,60.25,0.0
20140213,12.02500000000002,78.0,0.0
20140214,15.92500000000004,52.75,0.0
20140215,14.425000000000011,81.0,0.0
20140216,14.000000000000028,82.75,0.0
20140217,15.250000000000028,73.5,0.0
20140218,14.325000000000031,83.0,0.0
20140219,14.550000000000026,84.75,4.8
20140220,12.575000000000017,73.0,10.0
20140221,14.050000000000011,68.5,0.0
20140222,13.500000000000028,51.75,0.0
20140223,13.17500000000004,61.5,0.0
20140224,11.850000000000023,57.5,0.0
20140225,12.125000000000028,64.75,0.0
20140226,12.825000000000031,71.0,0.2
20140227,13.250000000000014,61.0,0.0
20140228,13.200000000000031,55.75,0.0
20140301,10.300000000000011,64.5,0.0
20140302,10.300000000000026,69.5,3.0
20140303,11.575000000000017,72.0,1.0
20140304,8.125000000000014,86.5,19.0
20140305,12.225000000000023,64.25,0.2
20140306,13.225000000000009,55.25,0.0
20140307,15.450000000000031,50.5,0.0
20140308,15.500000000000043,54.5,0.0
20140309,14.475000000000009,52.75,0.0
20140310,13.950000000000031,58.5,0.0
20140311,13.300000000000026,59.5,0.0
20140312,13.550000000000011,50.25,0.0
20140313,15.250000000000028,48.0,0.0
20140314,14.600000000000023,62.5,0.0
20140315,15.475000000000023,63.5,0.0
20140316,15.425000000000026,74.0,0.0
20140317,15.175000000000026,78.0,0.0
20140318,14.77500000000002,76.0,0.0
20140319,14.700000000000031,75.75,0.0
20140320,14.27500000000002,77.0,0.0
20140321,15.050000000000011,81.0,0.0
20140322,15.550000000000026,73.75,0.0
20140323,13.15000000000002,57.0,1.0
20140324,13.400000000000034,35.5,0.0
20140325,11.550000000000011,63.0,1.0
20140326,10.250000000000014,80.5,7.0
20140327,11.375000000000028,77.5,4.6
20140328,16.133333333333365,57.0,0.0
20140329,15.450000000000017,72.0,0.0
20140330,15.825000000000017,65.25,0.0
20140331,16.47500000000001,60.25,0.0
20140401,15.100000000000023,75.75,0.0
20140402,15.500000000000028,77.5,0.0
20140403,15.025000000000034,82.75,0.0
20140404,13.750000000000028,78.5,1.0
20140405,15.200000000000017,71.25,0.2
20140406,19.866666666666674,55.0,0.0
20140407,20.17500000000001,55.0,0.0
20140408,17.850000000000023,71.25,0.0
20140409,17.425000000000026,74.0,0.0
20140410,17.400000000000034,69.66666666666667,0.0
20140411,16.27500000000002,75.25,0.0
20140412,17.20000000000003,76.75,0.0
20140413,17.40000000000002,74.25,0.0
20140414,17.800000000000026,76.5,0.0
20140415,16.700000000000017,64.75,0.0
20140416,13.200000000000017,45.0,0.0
20140417,16.70000000000003,36.25,0.0
20140418,17.55000000000001,46.25,0.0
20140419,16.650000000000034,59.75,0.0
20140420,16.550000000000026,71.0,0.0
20140421,17.933333333333355,75.66666666666667,0.0
20140422,17.475000000000023,77.5,0.0
20140423,20.925000000000026,53.25,0.0
20140424,19.925000000000026,64.5,0.0
20140425,17.77500000000002,79.5,0.0
20140426,19.200000000000006,71.66666666666667,0.0
20140427,15.375000000000028,77.0,6.2
20140428,16.450000000000017,73.0,9.0
20140429,18.02500000000002,64.5,0.0
20140430,18.400000000000034,69.25,0.0
20140501,17.62500000000003,66.5,0.0
20140502,14.575000000000031,84.25,36.2
20140503,17.100000000000023,66.75,0.4
20140504,19.00000000000003,52.25,0.0
20140505,19.20000000000003,51.25,0.0
20140506,19.300000000000026,68.0,0.0
20140507,19.233333333333366,72.66666666666667,0.0
20140508,20.200000000000017,67.5,0.0
20140509,19.65000000000002,75.25,0.0
20140510,20.57500000000003,71.5,0.0
20140511,19.025000000000034,81.75,0.0
20140512,20.133333333333344,54.666666666666664,0.0
20140513,19.300000000000026,56.75,0.0
20140514,21.45000000000003,27.5,0.0
20140515,19.366666666666692,33.333333333333336,0.0
20140516,21.90000000000002,23.25,0.0
20140517,19.65000000000002,63.75,0.0
20140518,19.12500000000003,68.25,0.0
20140519,15.67500000000004,87.5,4.0
20140520,19.350000000000023,82.75,0.2
20140521,20.375000000000014,73.75,0.0
20140522,20.350000000000023,78.5,0.0
20140523,20.225000000000037,74.0,0.0
20140524,20.700000000000045,60.0,0.0
20140525,21.90000000000002,49.5,0.0
20140526,21.50000000000004,54.0,0.0
20140527,21.03333333333336,53.0,0.0
20140528,21.000000000000014,52.0,0.0
20140529,21.700000000000045,56.0,0.0
20140530,21.033333333333342,68.66666666666667,0.0
20140531,19.225000000000023,76.25,5.0
20140601,22.650000000000006,42.0,0.0
20140602,22.850000000000023,48.0,0.0
20140603,22.100000000000023,59.0,0.0
20140604,23.30000000000001,58.0,0.0
20140605,23.900000000000034,61.0,0.0
20140606,23.52500000000002,63.75,0.0
20140607,25.55000000000001,48.0,0.0
20140608,27.900000000000034,39.5,0.0
20140609,29.366666666666692,43.666666666666664,0.0
20140610,27.650000000000034,43.0,0.0
20140611,30.100000000000023,42.5,0.0
20140612,29.50000000000003,46.5,0.0
20140613,28.900000000000006,56.5,0.0
20140614,26.500000000000018,61.0,0.0
20140615,20.40000000000002,80.75,9.0
20140616,22.00000000000003,65.0,8.0
20140617,22.80000000000004,54.5,0.0
20140618,23.366666666666692,45.666666666666664,0.0
20140619,25.450000000000017,39.5,0.0
20140620,25.80000000000001,56.0,0.0
20140621,25.50000000000003,64.5,0.0
20140622,25.80000000000001,66.0,0.0
20140623,24.72500000000001,77.25,0.0
20140624,24.700000000000017,72.5,0.0
20140625,26.20000000000003,61.5,0.0
20140626,22.02500000000002,73.25,0.2
20140627,25.475000000000023,64.0,0.0
20140628,25.925000000000026,60.0,0.0
20140629,25.475000000000023,71.25,1.0
20140630,26.925000000000026,43.25,0.0
20140701,24.575000000000017,60.25,0.0
20140702,25.25000000000003,62.25,0.0
20140703,25.400000000000034,70.75,0.0
20140704,25.80000000000004,64.0,0.0
20140705,26.050000000000026,67.5,0.0
20140706,26.05000000000001,65.0,0.0
20140707,24.25000000000003,81.5,1.0
20140708,26.73333333333335,38.333333333333336,0.0
20140709,25.850000000000023,36.0,0.0
20140710,24.075000000000017,46.5,0.0
20140711,25.600000000000023,45.333333333333336,0.0
20140712,24.050000000000026,67.75,0.0
20140713,23.90000000000002,66.0,1.0
20140714,23.03333333333336,70.66666666666667,4.6
20140715,25.975000000000023,59.0,0.2
20140716,28.533333333333342,49.666666666666664,0.0
20140717,30.0,43.0,0.0
20140718,27.950000000000017,58.0,0.0
20140719,28.350000000000023,60.25,0.0
20140720,26.02500000000002,74.5,0.2
20140721,27.933333333333355,47.666666666666664,0.0
20140722,25.05000000000001,62.0,0.0
20140723,26.733333333333366,58.666666666666664,0.0
20140724,25.433333333333355,67.33333333333333,0.0
20140725,24.466666666666697,73.66666666666667,8.0
20140726,25.37500000000003,76.0,31.0
20140727,27.50000000000003,51.75,0.0
20140728,27.900000000000016,56.333333333333336,0.0
20140729,23.27500000000002,68.0,0.6000000000000001
20140730,23.40000000000002,67.25,0.4
20140731,25.55000000000001,66.5,0.0
20140801,26.15000000000002,69.75,0.0
20140802,26.15000000000002,70.5,0.0
20140803,24.600000000000023,75.0,0.0
20140804,26.433333333333355,70.0,0.0
20140805,27.00000000000003,64.75,0.0
20140806,28.366666666666692,43.666666666666664,0.0
20140807,26.650000000000006,65.5,0.0
20140808,26.83333333333337,70.0,0.0
20140811,27.666666666666686,70.0,0.0
20140812,28.700000000000017,69.5,0.0
20140813,27.700000000000006,68.66666666666667,0.0
20140814,27.933333333333376,46.0,0.0
20140815,26.066666666666702,50.0,0.0
20140816,25.225000000000023,43.25,0.0
20140817,24.700000000000003,46.0,0.0
20140818,24.550000000000026,60.0,0.0
20140819,25.65000000000002,73.75,0.0
20140820,26.75000000000003,61.25,0.0
20140821,26.15000000000002,67.5,0.0
20140822,25.95000000000003,64.75,0.0
20140823,26.425000000000026,57.0,0.0
20140824,25.75000000000003,53.75,0.0
20140825,24.82500000000003,65.25,0.0
20140826,25.75000000000003,66.0,0.0
20140827,27.025000000000034,68.25,0.0
20140828,25.95000000000003,68.0,0.0
20140829,26.575000000000017,64.25,0.0
20140830,26.42500000000001,63.0,0.0
20140831,25.700000000000017,71.75,0.0
20140901,24.800000000000026,45.0,0.0
20140902,25.775000000000034,42.25,0.0
20140903,23.875000000000014,56.5,0.0
20140904,25.95000000000003,50.25,0.0
20140905,26.475000000000023,53.25,0.0
20140906,26.52500000000002,57.0,0.0
20140907,25.675000000000026,66.25,0.0
20140908,26.025000000000034,66.75,0.0
20140909,25.700000000000017,71.0,0.0
20140910,24.350000000000023,71.0,1.2
20140911,22.90000000000002,76.5,0.0
20140912,22.925000000000026,67.0,0.8
20140913,23.600000000000023,65.75,0.0
20140914,23.87500000000003,63.5,0.0
20140915,23.225000000000023,68.5,0.0
20140916,23.850000000000037,70.75,0.0
20140917,23.62500000000003,78.5,0.4
20140918,25.10000000000001,77.0,0.0
20140919,25.550000000000026,86.0,0.0
20140920,26.20000000000003,75.5,0.0
20140921,26.42500000000004,69.75,0.0
20140922,25.925000000000026,59.0,0.0
20140923,22.20000000000003,44.5,0.0
20140924,21.825000000000017,43.25,0.0
20140925,22.575000000000017,64.5,0.0
20140926,22.325000000000017,47.75,0.0
20140927,23.775000000000006,53.75,0.0
20140928,23.70000000000003,63.25,0.0
20140929,23.97500000000001,64.75,0.0
20140930,23.70000000000003,70.75,0.2
20141001,23.625000000000014,72.75,0.0
20141002,23.00000000000003,58.75,0.0
20141003,22.07500000000003,57.75,0.0
20141004,21.475000000000023,59.25,0.0
20141005,21.90000000000002,56.5,0.0
20141006,21.07500000000003,70.25,0.0
20141007,22.22500000000001,76.25,0.0
20141008,24.333333333333353,77.33333333333333,0.0
20141009,24.325000000000017,82.0,0.0
20141010,24.500000000000014,82.25,0.0
20141011,24.60000000000001,77.25,0.0
20141012,23.850000000000037,80.0,0.0
20141013,23.92500000000001,79.25,0.2
20141014,23.550000000000026,71.0,0.0
20141015,23.90000000000002,66.25,0.2
20141016,23.22500000000001,75.25,0.0
20141017,24.15000000000002,64.25,0.0
20141018,23.75000000000003,74.25,0.0
20141019,23.350000000000023,71.5,0.0
20141020,22.450000000000017,71.25,0.0
20141021,22.325000000000017,73.25,0.0
20141022,20.12500000000003,21.25,0.0
20141023,22.000000000000014,26.0,0.0
20141024,21.350000000000037,48.0,0.0
20141025,20.100000000000023,59.0,0.0
20141026,17.15000000000002,58.75,0.0
20141027,16.475000000000023,58.75,0.0
20141028,16.650000000000034,59.5,0.0
20141029,17.975000000000023,62.25,0.0
20141030,18.225000000000023,60.25,0.0
20141031,18.250000000000043,53.0,0.0
20141101,18.450000000000017,46.5,0.0
20141102,17.95000000000003,54.75,0.0
20141103,18.850000000000023,63.0,0.0
20141104,21.02500000000002,69.25,0.8
20141105,18.300000000000026,73.5,1.2
20141106,16.675000000000026,76.0,4.0
20141107,17.600000000000023,62.75,0.0
20141108,18.225000000000037,55.5,0.0
20141109,17.900000000000034,68.0,0.0
20141110,19.300000000000026,72.25,0.2
20141111,16.225000000000023,83.75,37.0
20141112,16.87500000000003,81.75,1.4
20141113,17.225000000000023,67.75,0.0
20141114,17.00000000000003,69.0,0.0
20141115,16.975000000000037,75.0,2.2
20141116,14.450000000000017,62.25,0.0
20141117,13.15000000000002,77.25,4.8
20141118,17.450000000000017,50.0,0.0
20141119,16.550000000000026,55.75,0.0
20141120,15.950000000000017,68.0,0.0
20141121,16.77500000000002,71.25,0.0
20141122,17.725000000000037,79.75,0.0
20141123,17.775000000000034,86.5,0.0
20141124,18.200000000000017,86.25,0.0
20141125,17.950000000000017,86.0,0.0
20141126,15.325000000000031,91.5,4.0
20141127,16.82500000000003,82.25,0.0
20141128,18.100000000000023,86.0,3.0
20141129,17.700000000000017,87.25,1.6
20141130,18.37500000000003,91.25,0.0
20141201,15.750000000000014,82.5,0.2
20141202,14.700000000000031,80.25,2.4
20141203,15.125000000000028,75.25,0.0
20141204,15.175000000000026,78.25,0.1
20141205,14.02500000000002,85.5,1.7
20141206,14.625000000000014,57.5,-0.2
20141207,13.000000000000028,63.75,7.7
20141208,13.27500000000002,70.75,-0.1
20141209,12.166666666666686,56.333333333333336,0.0
20141210,12.200000000000031,54.25,0.0
20141211,12.325000000000017,55.5,0.0
20141212,12.100000000000023,68.25,0.0
20141213,13.02500000000002,73.0,0.0
20141214,14.15000000000002,71.5,0.0
20141215,14.725000000000009,84.5,3.6
20141216,10.950000000000031,91.25,22.200000000000003
20141217,13.92500000000004,78.0,0.0
20141218,14.475000000000009,74.5,0.0
20141219,13.90000000000002,76.5,-0.1
20141220,14.15000000000002,76.5,0.0
20141221,13.725000000000023,78.5,0.0
20141222,12.90000000000002,70.5,0.0
20141223,13.375000000000014,64.5,-0.1
20141224,14.333333333333371,58.666666666666664,0.0
20141225,14.50000000000002,60.333333333333336,0.0
20141226,11.65000000000002,54.25,0.0
20141227,9.600000000000003,63.0,-0.1
20141228,8.100000000000023,59.0,0.1
20141229,7.750000000000014,44.0,0.0
20141230,5.7333333333333485,58.333333333333336,0.2
20141231,4.950000000000031,54.25,0.0
20150101,9.425000000000026,50.25,0.0
20150102,11.725000000000009,63.0,0.0
20150103,12.050000000000011,75.25,0.0
20150104,14.200000000000017,72.25,0.0
20150105,10.65000000000002,59.0,0.0
20150106,11.475000000000023,62.25,0.0
20150107,10.800000000000031,73.0,0.0
20150108,11.233333333333348,69.0,0.0
20150109,11.90000000000002,73.5,-0.1
20150110,12.40000000000002,78.75,0.0
20150111,14.77500000000002,63.0,0.0
20150112,12.750000000000014,52.75,0.0
20150113,12.200000000000008,62.333333333333336,0.0
20150114,12.150000000000034,68.5,0.0
20150115,12.375000000000014,75.25,0.0
20150116,13.375000000000014,82.5,-0.2
20150117,13.175000000000026,47.5,0.0
20150118,10.65000000000002,53.25,0.0
20150119,10.425000000000011,59.75,0.0
20150120,9.90000000000002,77.5,1.7999999999999998
20150121,11.575000000000017,70.5,0.2
20150122,9.925000000000026,85.5,8.1
20150123,13.65000000000002,62.5,0.0
20150124,12.100000000000009,65.25,0.0
20150125,9.825000000000017,62.0,0.0
20150126,9.125000000000014,52.0,0.0
20150127,9.40000000000002,53.5,0.0
20150128,8.90000000000002,47.25,0.0
20150129,11.450000000000031,57.0,0.2
20150130,9.450000000000003,45.0,2.0
20150131,10.725000000000023,60.75,0.2
20150201,10.500000000000028,46.25,-0.1
20150202,10.475000000000023,42.75,0.0
20150203,9.625000000000014,66.25,4.2
20150204,9.625000000000014,81.75,1.4
20150205,10.000000000000028,72.75,0.2
20150206,6.350000000000023,88.5,9.9
20150207,8.400000000000006,78.75,-0.1
20150208,9.650000000000034,65.25,0.0
20150209,7.800000000000026,52.5,0.0
20150210,11.475000000000023,56.75,0.0
20150211,12.15000000000002,76.0,0.0
20150212,12.475000000000023,77.0,0.0
20150213,12.52500000000002,67.75,0.0
20150214,12.250000000000014,73.75,-0.2
20150215,11.675000000000026,76.75,-0.1
20150216,11.100000000000037,88.25,21.400000000000002
20150217,13.90000000000002,69.5,0.0
20150218,10.27500000000002,59.75,0.0
20150219,10.550000000000026,65.0,0.0
20150220,11.725000000000009,64.5,0.0
20150221,11.000000000000014,81.0,4.7
20150222,11.77500000000002,77.5,0.7
20150223,13.850000000000009,62.5,0.0
20150224,9.000000000000014,82.25,2.4
20150225,11.050000000000026,70.25,1.0
20150226,12.425000000000026,63.25,0.0
20150227,12.325000000000017,62.5,0.0
20150228,12.375000000000028,66.5,-0.1
20150301,12.125000000000028,69.0,0.0
20150302,21.325000000000045,42.5,0.0
20150303,16.000000000000014,63.0,0.0
20150304,14.020000000000028,83.6,6.0
20150305,10.750000000000014,37.5,-0.1
20150306,11.100000000000037,37.0,0.0
20150307,11.300000000000026,36.5,0.0
20150308,11.300000000000011,51.5,0.0
20150309,11.475000000000023,57.75,0.0
20150310,13.425000000000011,64.25,0.0
20150311,13.725000000000023,66.25,0.0
20150312,12.433333333333357,42.0,0.0
20150313,13.175000000000026,51.0,0.0
20150314,13.375000000000014,75.75,0.1
20150315,11.425000000000026,90.0,32.699999999999996
20150316,12.050000000000011,94.0,24.0
20150317,12.075000000000031,95.75,27.0
20150318,14.325000000000017,74.0,0.0
20150319,14.65000000000002,78.0,0.0
